temperature,city,pression,date
290.23,Paris,1015,2023-09-19 09:28
290.27,London,1005,2023-09-19 09:28
281.7,Washington,1017,2023-09-19 09:28
290.23,Paris,1015,2023-09-19 09:27
290.27,London,1005,2023-09-19 09:27
281.7,Washington,1017,2023-09-19 09:27
290.23,Paris,1015,2023-09-19 09:26
290.27,London,1005,2023-09-19 09:26
281.7,Washington,1017,2023-09-19 09:26
290.16,Paris,1015,2023-09-19 09:25
290.27,London,1005,2023-09-19 09:25
281.7,Washington,1017,2023-09-19 09:25
290.16,Paris,1015,2023-09-19 09:24
290.27,London,1005,2023-09-19 09:24
281.7,Washington,1017,2023-09-19 09:24
290.23,Paris,1015,2023-09-19 09:23
290.27,London,1005,2023-09-19 09:23
281.7,Washington,1017,2023-09-19 09:23
290.17,Paris,1015,2023-09-19 09:22
290.25,London,1004,2023-09-19 09:22
282.2,Washington,1017,2023-09-19 09:22
290.17,Paris,1015,2023-09-19 09:21
290.25,London,1004,2023-09-19 09:21
282.2,Washington,1017,2023-09-19 09:21
290.17,Paris,1015,2023-09-19 09:20
290.25,London,1004,2023-09-19 09:20
282.2,Washington,1017,2023-09-19 09:20
290.17,Paris,1015,2023-09-19 09:19
290.25,London,1004,2023-09-19 09:19
282.2,Washington,1017,2023-09-19 09:19
290.01,Paris,1015,2023-09-19 09:18
290.25,London,1004,2023-09-19 09:18
282.2,Washington,1017,2023-09-19 09:18
290.01,Paris,1015,2023-09-19 09:17
290.21,London,1004,2023-09-19 09:17
282.2,Washington,1017,2023-09-19 09:17
290.01,Paris,1015,2023-09-19 09:16
290.21,London,1004,2023-09-19 09:16
282.2,Washington,1017,2023-09-19 09:16
290.01,Paris,1015,2023-09-19 09:15
290.21,London,1004,2023-09-19 09:15
282.2,Washington,1017,2023-09-19 09:15
290.01,Paris,1015,2023-09-19 09:14
290.13,London,1004,2023-09-19 09:14
282.2,Washington,1017,2023-09-19 09:14
289.52,Paris,1015,2023-09-19 09:13
290.13,London,1004,2023-09-19 09:13
282.2,Washington,1017,2023-09-19 09:13
290.01,Paris,1015,2023-09-19 09:12
290.13,London,1004,2023-09-19 09:12
282.2,Washington,1017,2023-09-19 09:12
289.61,Paris,1015,2023-09-19 09:11
290.13,London,1004,2023-09-19 09:11
282.2,Washington,1017,2023-09-19 09:11
289.61,Paris,1015,2023-09-19 09:09
290.13,London,1004,2023-09-19 09:09
281.12,Washington,1017,2023-09-19 09:09
289.61,Paris,1015,2023-09-19 09:08
290.13,London,1004,2023-09-19 09:08
281.12,Washington,1017,2023-09-19 09:08
289.61,Paris,1015,2023-09-19 09:06
290.13,London,1004,2023-09-19 09:06
281.12,Washington,1017,2023-09-19 09:06
289.61,Paris,1015,2023-09-19 09:05
290.13,London,1004,2023-09-19 09:05
281.12,Washington,1017,2023-09-19 09:05
289.61,Paris,1015,2023-09-19 09:04
289.86,London,1004,2023-09-19 09:04
281.12,Washington,1017,2023-09-19 09:04
289.61,Paris,1015,2023-09-19 09:03
289.86,London,1004,2023-09-19 09:03
281.12,Washington,1017,2023-09-19 09:03
289.61,Paris,1015,2023-09-19 09:02
289.86,London,1004,2023-09-19 09:02
281.12,Washington,1017,2023-09-19 09:02
289.4,Paris,1015,2023-09-19 09:01
289.86,London,1004,2023-09-19 09:01
281.12,Washington,1017,2023-09-19 09:01
289.4,Paris,1015,2023-09-19 09:00
289.86,London,1004,2023-09-19 09:00
281.12,Washington,1017,2023-09-19 09:00
289.4,Paris,1015,2023-09-19 08:59
289.86,London,1004,2023-09-19 08:59
281.12,Washington,1017,2023-09-19 08:59
289.4,Paris,1015,2023-09-19 08:58
289.86,London,1004,2023-09-19 08:58
281.12,Washington,1017,2023-09-19 08:58
289.4,Paris,1015,2023-09-19 08:57
289.86,London,1004,2023-09-19 08:57
281.12,Washington,1017,2023-09-19 08:57
289.43,Paris,1015,2023-09-19 08:56
289.86,London,1004,2023-09-19 08:56
281.12,Washington,1017,2023-09-19 08:56
289.4,Paris,1015,2023-09-19 08:55
289.84,London,1004,2023-09-19 08:55
281.62,Washington,1017,2023-09-19 08:55
288.96,Paris,1015,2023-09-19 08:54
289.84,London,1004,2023-09-19 08:54
281.62,Washington,1017,2023-09-19 08:54
288.96,Paris,1015,2023-09-19 08:53
289.84,London,1004,2023-09-19 08:53
281.62,Washington,1017,2023-09-19 08:53
288.96,Paris,1015,2023-09-19 08:52
289.84,London,1004,2023-09-19 08:52
281.78,Washington,1017,2023-09-19 08:52
289.1,Paris,1015,2023-09-19 08:51
289.84,London,1004,2023-09-19 08:51
281.78,Washington,1017,2023-09-19 08:51
289.1,Paris,1015,2023-09-19 08:50
289.66,London,1005,2023-09-19 08:50
281.78,Washington,1017,2023-09-19 08:50
289.1,Paris,1015,2023-09-19 08:49
289.66,London,1005,2023-09-19 08:49
281.78,Washington,1017,2023-09-19 08:49
289.1,Paris,1015,2023-09-19 08:48
289.66,London,1005,2023-09-19 08:48
281.78,Washington,1017,2023-09-19 08:48
289.1,Paris,1015,2023-09-19 08:47
289.66,London,1005,2023-09-19 08:47
281.78,Washington,1017,2023-09-19 08:47
289.1,Paris,1015,2023-09-19 08:46
289.66,London,1005,2023-09-19 08:46
281.78,Washington,1017,2023-09-19 08:46
288.96,Paris,1015,2023-09-19 08:45
289.66,London,1005,2023-09-19 08:45
281.78,Washington,1017,2023-09-19 08:45
288.95,Paris,1015,2023-09-19 08:44
289.6,London,1005,2023-09-19 08:44
281.78,Washington,1017,2023-09-19 08:44
288.95,Paris,1015,2023-09-19 08:43
289.6,London,1005,2023-09-19 08:43
281.78,Washington,1017,2023-09-19 08:43
288.95,Paris,1015,2023-09-19 08:42
289.6,London,1005,2023-09-19 08:42
281.78,Washington,1017,2023-09-19 08:42
288.95,Paris,1015,2023-09-19 08:41
289.6,London,1005,2023-09-19 08:41
281.78,Washington,1017,2023-09-19 08:41
288.96,Paris,1015,2023-09-19 08:40
289.6,London,1005,2023-09-19 08:40
281.78,Washington,1017,2023-09-19 08:40
288.95,Paris,1015,2023-09-19 08:39
289.6,London,1005,2023-09-19 08:39
281.78,Washington,1017,2023-09-19 08:39
288.95,Paris,1015,2023-09-19 08:38
289.6,London,1005,2023-09-19 08:38
281.78,Washington,1017,2023-09-19 08:38
288.95,Paris,1015,2023-09-19 08:36
289.6,London,1005,2023-09-19 08:36
281.78,Washington,1017,2023-09-19 08:36
288.86,Paris,1015,2023-09-19 08:35
289.45,London,1005,2023-09-19 08:35
281.78,Washington,1017,2023-09-19 08:35
288.84,Paris,1015,2023-09-19 08:34
289.43,London,1004,2023-09-19 08:34
281.4,Washington,1017,2023-09-19 08:34
288.84,Paris,1015,2023-09-19 08:33
289.43,London,1004,2023-09-19 08:33
281.4,Washington,1017,2023-09-19 08:33
288.84,Paris,1015,2023-09-19 08:32
289.43,London,1004,2023-09-19 08:32
281.4,Washington,1017,2023-09-19 08:32
288.84,Paris,1015,2023-09-19 08:31
289.43,London,1004,2023-09-19 08:31
281.4,Washington,1017,2023-09-19 08:31
288.82,Paris,1015,2023-09-19 08:30
289.45,London,1005,2023-09-19 08:30
281.4,Washington,1017,2023-09-19 08:30
288.84,Paris,1015,2023-09-19 08:29
289.45,London,1005,2023-09-19 08:29
281.4,Washington,1017,2023-09-19 08:29
288.84,Paris,1015,2023-09-19 08:28
289.45,London,1005,2023-09-19 08:28
281.4,Washington,1017,2023-09-19 08:28
288.84,Paris,1015,2023-09-19 08:27
289.45,London,1005,2023-09-19 08:27
281.4,Washington,1017,2023-09-19 08:27
288.84,Paris,1015,2023-09-19 08:26
289.45,London,1005,2023-09-19 08:26
281.4,Washington,1017,2023-09-19 08:26
288.82,Paris,1015,2023-09-19 08:25
289.45,London,1005,2023-09-19 08:25
281.4,Washington,1017,2023-09-19 08:25
288.7,Paris,1015,2023-09-19 08:24
289.46,London,1005,2023-09-19 08:24
281.56,Washington,1017,2023-09-19 08:24
288.7,Paris,1015,2023-09-19 08:23
289.42,London,1005,2023-09-19 08:23
281.56,Washington,1017,2023-09-19 08:23
288.7,Paris,1015,2023-09-19 08:22
289.42,London,1005,2023-09-19 08:22
281.56,Washington,1017,2023-09-19 08:22
288.7,Paris,1015,2023-09-19 08:21
289.42,London,1005,2023-09-19 08:21
281.56,Washington,1017,2023-09-19 08:21
288.7,Paris,1015,2023-09-19 08:20
289.42,London,1005,2023-09-19 08:20
281.56,Washington,1017,2023-09-19 08:20
288.28,Paris,1015,2023-09-19 08:14
289.45,London,1004,2023-09-19 08:14
281.85,Washington,1017,2023-09-19 08:14
288.28,Paris,1015,2023-09-19 08:13
289.45,London,1004,2023-09-19 08:13
281.85,Washington,1017,2023-09-19 08:13
288.28,Paris,1015,2023-09-19 08:12
289.45,London,1004,2023-09-19 08:12
281.85,Washington,1017,2023-09-19 08:12
288.19,Paris,1015,2023-09-19 08:03
289.29,London,1004,2023-09-19 08:03
282.47,Washington,1017,2023-09-19 08:03
288.19,Paris,1015,2023-09-19 08:02
289.29,London,1004,2023-09-19 08:02
282.47,Washington,1017,2023-09-19 08:02
288.19,Paris,1015,2023-09-19 08:01
289.29,London,1004,2023-09-19 08:01
282.47,Washington,1017,2023-09-19 08:01
288.23,Paris,1015,2023-09-19 07:55
289.23,London,1005,2023-09-19 07:55
282.58,Washington,1017,2023-09-19 07:55
288.23,Paris,1015,2023-09-19 07:54
289.23,London,1005,2023-09-19 07:54
282.58,Washington,1017,2023-09-19 07:54
288.23,Paris,1015,2023-09-19 07:53
289.14,London,1005,2023-09-19 07:53
282.58,Washington,1017,2023-09-19 07:53
288.23,Paris,1015,2023-09-19 07:52
289.14,London,1005,2023-09-19 07:52
282.58,Washington,1017,2023-09-19 07:52
287.82,Paris,1015,2023-09-19 07:51
289.14,London,1005,2023-09-19 07:51
282.58,Washington,1017,2023-09-19 07:51
287.82,Paris,1015,2023-09-19 07:49
289.14,London,1005,2023-09-19 07:49
282.58,Washington,1017,2023-09-19 07:49
287.82,Paris,1015,2023-09-19 07:38
289.09,London,1005,2023-09-19 07:38
282.82,Washington,1017,2023-09-19 07:38
287.82,Paris,1015,2023-09-19 07:37
289.09,London,1005,2023-09-19 07:37
282.82,Washington,1017,2023-09-19 07:37
